ISBN,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-L
3442410665,Sturmzeit. Roman.,Charlotte Link,Goldmann,1991.0,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
3442446937,Tage der Unschuld.,Richard North Patterson,Goldmann,2000.0,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg
0375406328,Lying Awake,Mark Salzman,Alfred A. Knopf,2000.0,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,1988.0,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,2002.0,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0060168013,Pigs in Heaven,Barbara Kingsolver,Harpercollins,1993.0,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,Avon,1996.0,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg
055321215X,Pride and Prejudice,Jane Austen,Bantam,1983.0,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Fireside,1979.0,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg
0061099686,Downtown,Anne Rivers Siddons,HarperTorch,1995.0,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
0553582909,Icebound,Dean R. Koontz,Bantam Books,2000.0,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
0671888587,I'll Be Seeing You,Mary Higgins Clark,Pocket,1994.0,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
0553582747,From the Corner of His Eye,Dean Koontz,Bantam Books,2001.0,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0425182908,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,2002.0,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
042518630X,Purity in Death,J.D. Robb,Berkley Publishing Group,2002.0,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell,1997.0,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
0812523873,Proxies,Laura J. Mixon,Tor Books,1999.0,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,2000.0,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,Dell,1999.0,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,HarperCollins Publishers,1988.0,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg
0156047624,All the King's Men,Robert Penn Warren,Harvest Books,1982.0,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
0245542957,Pacific Northwest,Hans Johannes Hoefer,Chambers Harrap Publishers Ltd,1985.0,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg
0380715899,A Soldier of the Great War,Mark Helprin,Avon Books,1992.0,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg
0553280333,Getting Well Again,O. Carol Simonton Md,Bantam,1992.0,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg
0961769947,Northwest Wines and Wineries,Chuck Hill,Speed Graphics,1993.0,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg
0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,Sunflower Press,2002.0,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg
0671623249,LONESOME DOVE,Larry McMurtry,Pocket,1986.0,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,Laurel Leaf,1991.0,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,Laurel Leaf,1995.0,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg
2070423204,Lieux dits,Michel Tournier,Gallimard,2002.0,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,Ballantine Books,1978.0,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg
0394743741,The yawning heights,Aleksandr Zinoviev,Random House,1980.0,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg
042511774X,Breathing Lessons,Anne Tyler,Berkley Publishing Group,1994.0,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
0804106304,The Joy Luck Club,Amy Tan,Prentice Hall (K-12),1994.0,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,NTC/Contemporary Publishing Company,1998.0,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg
0312970242,The Angel Is Near,Deepak Chopra,St. Martin's Press,2000.0,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,NTC/Contemporary Publishing Company,1997.0,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,1stBooks Library,2003.0,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg
0060938412,The Accidental Virgin,Valerie Frankel,Avon Trade,2003.0,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg
0140067477,The Tao of Pooh,Benjamin Hoff,Penguin Books,1983.0,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
0345465083,Seabiscuit,LAURA HILLENBRAND,Ballantine Books,2003.0,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
0451625889,The Prince,Niccolo Machiavelli,Signet Book,1952.0,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Thomas Nelson,1991.0,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
0441783589,Starship Troopers,Robert A. Heinlein,Ace Books,1987.0,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,Laurel Leaf,1988.0,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,Landoll,1995.0,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg
0375410538,Anil's Ghost,MICHAEL ONDAATJE,Knopf,2000.0,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg
0966986105,Prescription for Terror,Sandra Levy Ceren,Andrew Scott Publishers,1999.0,http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,Atlantic Monthly Press,1990.0,http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg
0340767936,Turning Thirty,Mike Gayle,Hodder &amp; Stoughton General Division,2000.0,http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg
0743403843,Decipher,Stel Pavlou,Simon &amp; Schuster (Trade Division),2002.0,http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg
0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,Perennial,1999.0,http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg
0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,Harpercollins,1994.0,http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg
0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,McGraw-Hill,2003.0,http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg
0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,Random House,2003.0,http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg
0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,Bantam Doubleday Dell,1981.0,http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg
0316769487,The Catcher in the Rye,J.D. Salinger,"Little, Brown",1991.0,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,Minotauro,2001.0,http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,Minotauro,2001.0,http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,Distribooks,2001.0,http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,1994.0,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
0671867156,Pretend You Don't See Her,Mary Higgins Clark,Pocket,1998.0,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
0312252617,Fast Women,Jennifer Crusie,St. Martin's Press,2001.0,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
0312261594,Female Intelligence,Jane Heller,St. Martin's Press,2001.0,http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,Back Bay Books,2002.0,http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg
0316973742,The Gospel of Judas: A Novel,Simon Mawer,Back Bay Books,2002.0,http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg
0385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,Doubleday Books,1987.0,http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,Warner Books,2000.0,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg
0451166892,The Pillars of the Earth,Ken Follett,Signet Book,1996.0,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
0553347594,McDonald's: Behind the Arches,John F. Love,Bantam,1995.0,http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg
0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,Fireside,1986.0,http://images.amazon.com/images/P/0671621009.01.LZZZZZZZ.jpg
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,Vintage,1995.0,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg
0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,Fireside,1996.0,http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg
0786868716,The Five People You Meet in Heaven,Mitch Albom,Hyperion,2003.0,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,Tusquets,2002.0,http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,Star Trek,1992.0,http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,Pocket,1995.0,http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg
0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,Dell,1996.0,http://images.amazon.com/images/P/0440222303.01.LZZZZZZZ.jpg
0312953453,Blood Oath,David Morrell,St. Martin's Press,1994.0,http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg
0446608653,The Alibi,Sandra Brown,Warner Books,2000.0,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg
0446612545,The Beach House,James Patterson,Warner Books,2003.0,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
0446612618,A Kiss Remembered,Sandra Brown,Warner Books,2003.0,http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg
0451208080,The Short Forever,Stuart Woods,Signet Book,2003.0,http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg
0553584383,Dead Aim,IRIS JOHANSEN,Bantam Books,2004.0,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
0671027360,Angels &amp; Demons,Dan Brown,Pocket Star,2001.0,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
0812575954,The Deal,Joe Hutsko,Tor Books (Mm),2000.0,http://images.amazon.com/images/P/0812575954.01.LZZZZZZZ.jpg
0316735736,All He Ever Wanted: A Novel,Anita Shreve,Back Bay Books,2004.0,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,Pocket,2002.0,http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg
0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,Ballantine Books,1991.0,http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg
0380619458,The Mosquito Coast,Paul Theroux,Harper Mass Market Paperbacks (Mm),1990.0,http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg
0446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,Warner Books (Mm),1994.0,http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg
0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,Onyx Books,1996.0,http://images.amazon.com/images/P/0451406923.01.LZZZZZZZ.jpg
0671042858,The Girl Who Loved Tom Gordon,Stephen King,Pocket,2000.0,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,Free Press,2003.0,http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg
0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,Thomas Nelson Inc,1992.0,http://images.amazon.com/images/P/0840734530.01.LZZZZZZZ.jpg
0425184226,The Sum of All Fears,Tom Clancy,Berkley Publishing Group,2002.0,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,Random House,1999.0,http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg
9724119378,O Deus Das Pequenas Coisas,Roy,Edicoes Asa,1998.0,http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,Signet Book,2002.0,http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,Perennial,1998.0,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,1996.0,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperTorch,1992.0,http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg
0671004573,Before I Say Good-Bye,Mary Higgins Clark,Pocket,2001.0,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,Warner Books,1994.0,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,Pan Macmillan,2001.0,http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg
038572179X,Atonement : A Novel,IAN MCEWAN,Anchor,2003.0,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
0393020371,Next: The Future Just Happened,Michael Lewis,W.W. Norton &amp; Company,2001.0,http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg
1900850303,The Angelic Darkness,Richard Zimler,Arcadia Books,1999.0,http://images.amazon.com/images/P/1900850303.01.LZZZZZZZ.jpg
1903019699,The Soulbane Stratagem,Norman Jetmundsen,"John Hunt Publishing, Ltd.",2000.0,http://images.amazon.com/images/P/1903019699.01.LZZZZZZZ.jpg
0345425294,Gangster,Lorenzo Carcaterra,Fawcett Books,2002.0,http://images.amazon.com/images/P/0345425294.01.LZZZZZZZ.jpg
0451410319,Hush,Anne Frasier,Onyx Books,2002.0,http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,Bantam Books,2002.0,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg
8420639133,Temor y Temblor,Soren Kierkegaard,Alianza,2001.0,http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,Downtown Book Center,2001.0,http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg
0380778556,Rebecca,Daphne Du Maurier,Avon,1994.0,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg
0451525221,Scarlet Letter,Nathaniel Hawthorne,Signet Book,1993.0,http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg
0002740230,Keep It Simple: And Get More Out of Life,Nick Page,Trafalgar Square,1999.0,http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,Delta,2003.0,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,Laure Leaf,1986.0,http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg
0505524996,Contact,Susan Grant,Love Spell,2002.0,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg
0140252800,The Brimstone Wedding,Barbara Vine,Penguin Books Ltd,1997.0,http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg
0451452755,The Catswold Portal,Shirley Rousseau Murphy,Roc,1993.0,http://images.amazon.com/images/P/0451452755.01.LZZZZZZZ.jpg
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,Tor Fantasy,2002.0,http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg
044651747X,Puerto Vallarta Squeeze,Robert James Waller,Warner Books,1995.0,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg
0060801263,Tree Grows In Brooklyn,Betty Smith,Harpercollins Publisher,1988.0,http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,Avon Books,2001.0,http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg
0140250964,Snow Angels,Stewart O'Nan,Penguin Books,1995.0,http://images.amazon.com/images/P/0140250964.01.LZZZZZZZ.jpg
0446527165,Wish You Well,David Baldacci,Warner Books,2000.0,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pocket,1982.0,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,Delta,2003.0,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg
039575514X,My Antonia,Willa Cather,Mariner Books,1995.0,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg
0451206673,Pen Pals,Olivia Goldsmith,Signet Book,2002.0,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg
0330332775,Bridget Jones's Diary,Helen Fielding,Picador (UK),1997.0,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,Dover Publications,1995.0,http://images.amazon.com/images/P/0486284735.01.LZZZZZZZ.jpg
0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,Aladdin,1998.0,http://images.amazon.com/images/P/0671021745.01.LZZZZZZZ.jpg
0671047612,Skin And Bones,Franklin W. Dixon,Aladdin,2000.0,http://images.amazon.com/images/P/0671047612.01.LZZZZZZZ.jpg
0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,Simon Pulse,1995.0,http://images.amazon.com/images/P/0671504282.01.LZZZZZZZ.jpg
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,Putnam Pub Group,1994.0,http://images.amazon.com/images/P/0399138684.01.LZZZZZZZ.jpg
0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,Nelson Books,2003.0,http://images.amazon.com/images/P/0785263292.01.LZZZZZZZ.jpg
0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,Regal Books,1989.0,http://images.amazon.com/images/P/0830714014.01.LZZZZZZZ.jpg
